Month Year Median Average
Sep 1973 $33,200 (NA)
Oct 1973 $33,300 (NA)
Nov 1973 $34,000 (NA)
Dec 1973 $35,700 (NA)
Jan 1974 $34,200 (NA)
Feb 1974 $34,900 (NA)
Mar 1974 $36,000 (NA)
Apr 1974 $35,700 (NA)
May 1974 $35,700 (NA)
Jun 1974 $35,100 (NA)
Jul 1974 $36,800 (NA)
Aug 1974 $35,700 (NA)
Sep 1974 $36,200 (NA)
Oct 1974 $37,200 (NA)
Nov 1974 $37,300 (NA)
Dec 1974 $37,400 (NA)
Jan 1975 $37,200 $39,500
Feb 1975 $37,900 $40,600
Mar 1975 $38,800 $42,100
Apr 1975 $39,200 $42,000
May 1975 $39,500 $43,200
Jun 1975 $37,900 $42,500
Jul 1975 $38,600 $42,300
Aug 1975 $38,200 $41,200
Sep 1975 $39,700 $43,400
Oct 1975 $40,700 $43,900
Nov 1975 $41,100 $43,700
Dec 1975 $42,100 $45,900
Jan 1976 $41,600 $45,300
Feb 1976 $42,700 $45,900
Mar 1976 $43,600 $46,800
Apr 1976 $43,300 $46,800
May 1976 $43,600 $47,500
Jun 1976 $46,100 $49,200
Jul 1976 $44,600 $48,000
Aug 1976 $44,200 $48,500
Sep 1976 $44,700 $48,200
Oct 1976 $45,300 $50,400
Nov 1976 $45,800 $50,000
Dec 1976 $45,900 $50,600
Jan 1977 $45,500 $50,700
Feb 1977 $47,400 $52,600
Mar 1977 $46,200 $51,600
Apr 1977 $48,700 $54,600
May 1977 $49,300 $54,400
Jun 1977 $48,700 $53,900
Jul 1977 $48,600 $53,600
Aug 1977 $49,000 $54,300
Sep 1977 $48,500 $53,900
Oct 1977 $51,400 $57,200
Nov 1977 $51,800 $57,800
Dec 1977 $52,700 $57,600
Jan 1978 $52,300 $58,500
Feb 1978 $53,200 $59,100
Mar 1978 $53,200 $59,900
Apr 1978 $53,300 $59,300
May 1978 $55,700 $62,300
Jun 1978 $56,700 $63,200
Jul 1978 $54,800 $62,900
Aug 1978 $56,100 $63,000
Sep 1978 $57,300 $64,400
Oct 1978 $58,300 $65,700
Nov 1978 $58,700 $66,300
Dec 1978 $59,900 $67,400
Jan 1979 $60,300 $67,700
Feb 1979 $61,200 $68,700
Mar 1979 $60,400 $68,500
Apr 1979 $62,600 $71,000
May 1979 $62,800 $71,800
Jun 1979 $64,200 $74,300
Jul 1979 $63,800 $71,900
Aug 1979 $64,000 $74,000
Sep 1979 $66,000 $76,800
Oct 1979 $62,300 $71,500
Nov 1979 $63,900 $74,200
Dec 1979 $61,500 $72,600
Jan 1980 $62,900 $72,400
Feb 1980 $64,900 $76,600
Mar 1980 $62,600 $71,600
Apr 1980 $63,100 $74,600
May 1980 $63,100 $72,800
Jun 1980 $64,900 $75,600
Jul 1980 $64,000 $76,700
Aug 1980 $63,400 $76,000
Sep 1980 $68,300 $80,100
Oct 1980 $65,600 $77,500
Nov 1980 $66,700 $81,800
Dec 1980 $67,000 $81,400
Jan 1981 $67,600 $80,700
Feb 1981 $66,200 $80,000
Mar 1981 $66,700 $81,600
Apr 1981 $68,700 $84,700
May 1981 $70,800 $83,600
Jun 1981 $68,800 $84,700
Jul 1981 $69,500 $82,600
Aug 1981 $72,600 $87,000
Sep 1981 $65,800 $81,300
Oct 1981 $69,600 $82,500
Nov 1981 $71,200 $85,300
Dec 1981 $68,400 $82,800
Jan 1982 $66,200 $78,000
Feb 1982 $65,700 $80,700
Mar 1982 $67,200 $83,700
Apr 1982 $70,200 $85,000
May 1982 $69,300 $86,500
Jun 1982 $69,300 $84,900
Jul 1982 $70,900 $86,500
Aug 1982 $70,100 $86,500
Sep 1982 $67,800 $79,600
Oct 1982 $69,700 $79,900
Nov 1982 $73,500 $87,800
Dec 1982 $71,700 $86,700
Jan 1983 $73,500 $87,200
Feb 1983 $73,800 $86,800
Mar 1983 $72,500 $86,200
Apr 1983 $74,700 $87,600
May 1983 $74,500 $88,800
Jun 1983 $75,800 $90,900
Jul 1983 $75,200 $89,200
Aug 1983 $76,800 $91,300
Sep 1983 $81,000 $97,800
Oct 1983 $75,900 $89,500
Nov 1983 $75,900 $91,400
Dec 1983 $75,900 $91,700
Jan 1984 $76,200 $92,200
Feb 1984 $79,200 $94,400
Mar 1984 $78,400 $97,700
Apr 1984 $79,600 $96,200
May 1984 $81,400 $101,900
Jun 1984 $80,500 $98,800
Jul 1984 $80,700 $97,100
Aug 1984 $82,000 $96,900
Sep 1984 $81,300 $101,300
Oct 1984 $80,100 $95,700
Nov 1984 $82,500 $101,400
Dec 1984 $78,300 $96,300
Jan 1985 $82,500 $98,300
Feb 1985 $82,000 $96,200
Mar 1985 $84,200 $100,900
Apr 1985 $85,600 $104,700
May 1985 $80,100 $98,100
Jun 1985 $86,300 $99,600
Jul 1985 $82,100 $99,400
Aug 1985 $83,300 $99,200
Sep 1985 $84,700 $102,600
Oct 1985 $85,400 $102,700
Nov 1985 $87,200 $104,100
Dec 1985 $87,900 $106,100
Jan 1986 $86,600 $104,100
Feb 1986 $89,700 $106,600
Mar 1986 $88,700 $108,000
Apr 1986 $92,500 $110,300
May 1986 $92,100 $114,600
Jun 1986 $91,200 $110,900
Jul 1986 $94,100 $116,800
Aug 1986 $91,500 $113,200
Sep 1986 $95,000 $114,000
Oct 1986 $96,400 $114,900
Nov 1986 $94,000 $113,600
Dec 1986 $95,000 $118,900
Jan 1987 $98,500 $122,100
Feb 1987 $95,200 $121,300
Mar 1987 $98,400 $119,500
Apr 1987 $96,500 $118,100
May 1987 $104,900 $126,600
Jun 1987 $109,000 $135,800
Jul 1987 $105,000 $128,600
Aug 1987 $106,800 $128,500
Sep 1987 $106,500 $133,500
Oct 1987 $106,500 $125,800
Nov 1987 $117,000 $139,200
Dec 1987 $111,800 $136,200
Jan 1988 $119,000 $144,400
Feb 1988 $110,900 $137,600
Mar 1988 $108,900 $133,200
Apr 1988 $111,000 $135,000
May 1988 $110,000 $133,500
Jun 1988 $111,500 $136,500
Jul 1988 $118,000 $141,300
Aug 1988 $110,000 $140,600
Sep 1988 $116,600 $142,700
Oct 1988 $112,900 $137,300
Nov 1988 $110,400 $137,300
Dec 1988 $121,000 $147,700
Jan 1989 $113,000 $138,600
Feb 1989 $118,000 $145,300
Mar 1989 $123,000 $149,000
Apr 1989 $116,700 $144,700
May 1989 $119,000 $145,100
Jun 1989 $122,800 $153,600
Jul 1989 $116,000 $140,300
Aug 1989 $122,900 $158,600
Sep 1989 $120,000 $151,100
Oct 1989 $123,000 $147,800
Nov 1989 $125,000 $151,400
Dec 1989 $125,200 $154,300
Jan 1990 $125,000 $151,700
Feb 1990 $126,900 $150,900
Mar 1990 $119,400 $144,600
Apr 1990 $130,000 $153,400
May 1990 $125,000 $150,600
Jun 1990 $125,000 $150,400
Jul 1990 $118,700 $149,800
Aug 1990 $118,400 $144,700
Sep 1990 $113,000 $142,100
Oct 1990 $120,000 $153,000
Nov 1990 $118,900 $143,300
Dec 1990 $127,000 $153,400
Jan 1991 $117,900 $148,600
Feb 1991 $119,900 $147,800
Mar 1991 $122,500 $156,400
Apr 1991 $121,000 $150,800
May 1991 $116,000 $145,400
Jun 1991 $119,000 $145,900
Jul 1991 $120,000 $148,200
Aug 1991 $120,800 $141,800
Sep 1991 $120,000 $147,300
Oct 1991 $122,600 $147,400
Nov 1991 $118,500 $141,700
Dec 1991 $122,000 $143,000
Jan 1992 $120,000 $144,200
Feb 1992 $117,200 $144,800
Mar 1992 $120,000 $144,800
Apr 1992 $120,000 $145,000
May 1992 $113,000 $146,000
Jun 1992 $124,500 $146,600
Jul 1992 $118,000 $137,700
Aug 1992 $123,500 $145,300
Sep 1992 $119,500 $142,200
Oct 1992 $125,000 $148,400
Nov 1992 $128,900 $147,200
Dec 1992 $126,000 $146,200
Jan 1993 $118,000 $138,900
Feb 1993 $129,400 $149,400
Mar 1993 $125,000 $146,600
Apr 1993 $127,000 $148,400
May 1993 $129,900 $152,300
Jun 1993 $124,500 $145,700
Jul 1993 $123,900 $143,400
Aug 1993 $126,600 $150,600
Sep 1993 $129,400 $150,100
Oct 1993 $125,000 $146,900
Nov 1993 $130,000 $152,500
Dec 1993 $125,000 $146,400
Jan 1994 $126,000 $153,400
Feb 1994 $129,900 $150,700
Mar 1994 $132,300 $152,800
Apr 1994 $129,000 $152,900
May 1994 $129,900 $151,800
Jun 1994 $133,500 $158,400
Jul 1994 $124,400 $144,400
Aug 1994 $133,300 $154,900
Sep 1994 $129,700 $157,200
Oct 1994 $132,000 $153,000
Nov 1994 $129,900 $155,400
Dec 1994 $135,000 $159,600
Jan 1995 $127,900 $147,400
Feb 1995 $135,000 $160,200
Mar 1995 $130,000 $153,300
Apr 1995 $134,000 $157,800
May 1995 $133,900 $158,000
Jun 1995 $133,700 $160,200
Jul 1995 $131,000 $154,200
Aug 1995 $134,900 $162,000
Sep 1995 $130,000 $155,600
Oct 1995 $135,200 $156,200
Nov 1995 $137,000 $160,700
Dec 1995 $138,600 $165,600
Jan 1996 $131,900 $155,300
Feb 1996 $139,400 $163,700
Mar 1996 $137,000 $162,100
Apr 1996 $140,000 $170,000
May 1996 $136,500 $163,300
Jun 1996 $140,000 $166,500
Jul 1996 $144,200 $168,400
Aug 1996 $137,000 $159,700
Sep 1996 $139,000 $167,400
Oct 1996 $143,800 $168,400
Nov 1996 $143,500 $172,000
Dec 1996 $144,900 $171,800
Jan 1997 $145,000 $171,900
Feb 1997 $143,000 $171,100
Mar 1997 $148,000 $172,700
Apr 1997 $150,000 $179,500
May 1997 $141,000 $170,700
Jun 1997 $145,000 $179,400
Jul 1997 $145,900 $175,500
Aug 1997 $144,000 $170,700
Sep 1997 $146,300 $177,500
Oct 1997 $141,500 $172,900
Nov 1997 $145,000 $175,400
Dec 1997 $145,900 $175,800
Jan 1998 $148,000 $178,600
Feb 1998 $156,000 $181,600
Mar 1998 $152,700 $178,500
Apr 1998 $148,000 $176,700
May 1998 $153,200 $183,500
Jun 1998 $148,000 $175,900
Jul 1998 $149,900 $179,800
Aug 1998 $154,900 $186,500
Sep 1998 $155,000 $182,700
Oct 1998 $154,500 $182,800
Nov 1998 $151,000 $178,600
Dec 1998 $152,500 $183,300
Jan 1999 $153,100 $182,900
Feb 1999 $160,000 $191,400
Mar 1999 $157,300 $189,300
Apr 1999 $159,900 $192,200
May 1999 $154,400 $187,900
Jun 1999 $159,300 $193,900
Jul 1999 $158,200 $189,100
Aug 1999 $154,800 $193,100
Sep 1999 $163,200 $194,800
Oct 1999 $161,100 $200,200
Nov 1999 $172,000 $211,500
Dec 1999 $164,800 $202,100
Jan 2000 $163,500 $200,300
Feb 2000 $162,400 $199,200
Mar 2000 $165,100 $204,900
Apr 2000 $162,600 $207,300
May 2000 $164,700 $200,000
Jun 2000 $160,100 $197,700
Jul 2000 $169,000 $202,200
Aug 2000 $166,600 $200,200
Sep 2000 $171,500 $208,300
Oct 2000 $176,300 $215,100
Nov 2000 $174,700 $210,700
Dec 2000 $162,000 $208,100
Jan 2001 $171,300 $209,000
Feb 2001 $169,100 $211,000
Mar 2001 $166,300 $210,200
Apr 2001 $175,200 $205,500
May 2001 $175,300 $211,400
Jun 2001 $179,400 $211,700
Jul 2001 $175,000 $209,300
Aug 2001 $173,700 $207,500
Sep 2001 $166,400 $203,300
Oct 2001 $171,300 $207,100
Nov 2001 $168,100 $206,900
Dec 2001 $180,200 $228,700
Jan 2002 $187,100 $226,900
Feb 2002 $191,100 $226,500
Mar 2002 $183,400 $227,100
Apr 2002 $187,100 $228,100
May 2002 $181,000 $226,500
Jun 2002 $190,600 $225,200
Jul 2002 $175,600 $217,800
Aug 2002 $178,900 $221,300
Sep 2002 $177,500 $215,300
Oct 2002 $189,200 $231,300
Nov 2002 $181,200 $227,100
Dec 2002 $197,600 $237,800
Jan 2003 $181,700 $230,200
Feb 2003 $187,000 $233,400
Mar 2003 $185,100 $231,100
Apr 2003 $189,500 $237,200
May 2003 $195,500 $243,700
Jun 2003 $187,900 $239,700
Jul 2003 $190,200 $248,400
Aug 2003 $190,500 $241,000
Sep 2003 $192,000 $254,500
Oct 2003 $194,100 $242,800
Nov 2003 $207,100 $268,300
Dec 2003 $196,000 $253,900
Jan 2004 $209,500 $262,100
Feb 2004 $219,600 $264,100
Mar 2004 $209,600 $261,000
Apr 2004 $222,300 $269,300
May 2004 $211,700 $260,400
Jun 2004 $215,700 $263,200
Jul 2004 $212,400 $279,200
Aug 2004 $218,100 $272,200
Sep 2004 $211,600 $269,200
Oct 2004 $229,200 $289,600
Nov 2004 $224,500 $283,200
Dec 2004 $229,600 $284,300
Jan 2005 $223,100 $283,000
Feb 2005 $237,300 $289,100
Mar 2005 $229,300 $289,600
Apr 2005 $236,300 $289,100
May 2005 $228,300 $287,400
Jun 2005 $226,100 $279,600
Jul 2005 $229,200 $289,300
Aug 2005 $240,100 $295,000
Sep 2005 $240,400 $299,600
Oct 2005 $243,900 $293,600
Nov 2005 $237,900 $294,400
Dec 2005 $238,600 $290,200
Jan 2006 $244,900 $301,000
Feb 2006 $250,800 $307,900
Mar 2006 $238,800 $298,800
Apr 2006 $257,000 $310,300
May 2006 $238,200 $293,900
Jun 2006 $243,200 $305,000
Jul 2006 $238,100 $311,300
Aug 2006 $243,900 $317,300
Sep 2006 $226,700 $296,200
Oct 2006 $250,400 $306,800
Nov 2006 $240,100 $291,800
Dec 2006 $244,700 $301,900
Jan 2007 $254,400 $314,600
Feb 2007 $250,800 $321,500
Mar 2007 $262,600 $329,400
Apr 2007 $242,500 $311,700
May 2007 $245,000 $309,700
Jun 2007 $235,500 $306,500
Jul 2007 $246,200 $307,100
Aug 2007 $236,500 $301,300
Sep 2007 $240,300 $292,200
Oct 2007 $234,300 $310,100
Nov 2007 $249,100 $316,800
Dec 2007 $227,700 $284,400
Jan 2008 $232,400 $284,600
Feb 2008 $245,300 $301,200
Mar 2008 $229,300 $287,600
Apr 2008 $246,400 $314,300
May 2008 $229,300 $298,200
Jun 2008 $234,300 $299,400
Jul 2008 $237,300 $301,900
Aug 2008 $221,000 $265,500
Sep 2008 $225,200 $287,100
Oct 2008 $213,200 $274,000
Nov 2008 $221,600 $290,100
Dec 2008 $229,600 $263,100
Jan 2009 $208,600 $245,200
Feb 2009 $209,700 $258,600
Mar 2009 $205,100 $259,800
Apr 2009 $219,200 $269,800
May 2009 $222,300 $274,600
Jun 2009 $214,700 $274,800
Jul 2009 $214,200 $271,100
Aug 2009 $207,100 $257,800
Sep 2009 $216,600 $290,300
Oct 2009 $215,100 $263,800
Nov 2009 $218,800 $274,700
Dec 2009 $222,600 $278,300
Jan 2010 $218,200 $283,400
Feb 2010 $221,900 $284,100
Mar 2010 $224,800 $262,900
Apr 2010 $208,300 $270,500
May 2010 $230,500 $281,100
Jun 2010 $219,500 $256,700
Jul 2010 $212,100 $252,100
Aug 2010 $226,600 $268,800
Sep 2010 $228,000 $270,800
Oct 2010 $204,200 $254,400
Nov 2010 $219,600 $281,700
Dec 2010 $241,200 $291,700
Jan 2011 $240,100 $275,700
Feb 2011 $220,100 $262,800
Mar 2011 $220,500 $260,800
Apr 2011 $224,700 $268,900
May 2011 $222,000 $262,700
Jun 2011 $240,200 $273,100
Jul 2011 $229,900 $270,300
Aug 2011 $219,600 $259,300
Sep 2011 $217,000 $255,400
Oct 2011 $224,800 $258,300
Nov 2011 $214,300 $250,000
Dec 2011 $218,600 $262,900
Jan 2012 $221,700 $265,700
Feb 2012 $239,900 $274,000
Mar 2012 $239,800 $283,600
Apr 2012 $236,400 $287,900
May 2012 $239,200 $280,900
Jun 2012 $232,600 $271,800
Jul 2012 $237,400 $282,300
Aug 2012 $253,200 $305,500
Sep 2012 $254,600 $297,700
Oct 2012 $247,200 $285,400
Nov 2012 $245,000 $290,700
Dec 2012 $258,300 $299,200
Jan 2013 $251,500 $306,900
Feb 2013 $265,100 $312,500
Mar 2013 $257,500 $300,200
Apr 2013 $279,300 $337,000
May 2013 $263,700 $314,000
Jun 2013 $259,800 $306,100
Jul 2013 $262,200 $329,900
Aug 2013 $255,300 $310,800
Sep 2013 $269,800 $321,400
Oct 2013 $264,300 $335,700
Nov 2013 $277,100 $335,600
Dec 2013 $275,500 $321,200
Jan 2014 $269,800 $337,300
Feb 2014 $268,400 $325,900
Mar 2014 $282,300 $331,500
Apr 2014 $274,500 $325,100
May 2014 $285,600 $323,500
Jun 2014 $287,000 $338,100
Jul 2014 $280,400 $345,200
Aug 2014 $291,700 $356,200
Sep 2014 $261,500 $319,100
Oct 2014 $299,400 $384,000
Nov 2014 $302,700 $358,800
Dec 2014 $302,000 $373,500
Jan 2015 $292,000 $356,000
Feb 2015 $293,900 $355,900
Mar 2015 $293,400 $352,700
Apr 2015 $292,700 $334,700
May 2015 $287,400 $340,800
Jun 2015 $289,200 $329,300
Jul 2015 $296,000 $341,900
Aug 2015 $300,200 $348,800
Sep 2015 $310,400 $369,400
Oct 2015 $286,900 $358,100
Nov 2015 $305,000 $374,900
